"","PlayerId","NameFirst","NameLast","CurrentHandle","CountryCode","TotalUSDPrize"
"1",40009,"Philip","Dosen","ImperialHal","us","174901.33"
"2",52436,"Jordan","Wolfe","Reps","us","139122.99"
"3",61449,"Mac","Beckwith","Albralelie","us","121023.33"
"4",72409,"Dan","Ušić","rpr","hr","119627.00"
"5",80405,"Can","Öztürk","Taisheen","de","117568.99"
"6",35726,"Mikkel","Hestbek","Mande","dk","117427.00"
"7",40041,"Chris","Sexton","Sweetdreams","us","99626.36"
"8",1203,"Eric","Wrona","Snipedown","us","95314.34"
"9",72463,"Brendan","Pode","Onmuu","us","95275.34"
"10",70466,"Nicholas","Hobbs","Vein","us","92573.67"
"11",80357,"Alex","Scala","Scuwry","ca","92250.33"
"12",61546,"Kirill","Ivanov","9impulse","by","91212.33"
"13",70086,"Adam","Lau","senoxe","ca","82908.02"
"14",34660,"Coby","Meadows","dizzy","us","80169.35"
"15",31996,"Nathan","Telene","xRetzi","us","76164.68"
"16",78635,"Jeong Jin","Kim","Dogma","kr","74563.00"
"17",78636,"Min Dung","Jung","Minseong","kr","74563.00"
"18",79410,"Park","Jung-hee","JungHee","kr","73103.00"
"19",78486,"Juan","Tubil","Twizy","id","71466.34"
"20",78487,"Rizky","Nugraha","Kisanss","id","71466.34"
"21",78488,"Zirul","Iman","Zaratass","id","71466.34"
"22",63402,"Mark","Thees","Dropped","us","67782.37"
"23",72404,"Min-hyuk","Lee","KaronPe","kr","67076.34"
"24",38120,"Jordan","Thomas","HusKerrs","us","66712.34"
"25",44313,"Zach","Mazer","Zach","us","66640.34"
"26",37406,"Jeonghwan","An","Selly","kr","63507.33"
"27",29756,"Jared","Gitlin","zombs","us","61998.00"
"28",32184,"Brandon","Winn","ace","us","59302.68"
"29",77991,"Logan","Layou","knoqd","us","58370.01"
"30",72399,"Hong Gyun","Song","Ras","kr","55827.33"
"31",79436,"Hernandes","Mateus dos Santos","besk9","br","55024.33"
"32",79438,"Lucas","Cafure","Artinn1","br","54564.33"
"33",80378,"Paris","Gouzoulis","StayNaughty","us","54288.33"
"34",66391,"Danila","Soloviov","Sunset","ru","52325.00"
"35",72460,"Nathan","Nguyen","Nafen","us","52308.66"
"36",67589,"Ryan","Boyd","Reptar","us","51957.35"
"37",72401,"Ryan","Schlieve","ImMadness","us","51556.33"
"38",35353,"Bryan","McCarthy","iShiny","us","51225.00"
"39",85077,"Lev","Grigoriev","taskmast33r","ru","51058.34"
"40",61817,"Sinchai","Sotsiao","Chambers","th","49902.33"
"41",76221,"Aidan","Grodin","Rocker","us","49600.66"
"42",78633,"Jung","Hyun Lim","Obly","kr","47076.34"
"43",9993,"Nikita","Marchinsky","Clawz","by","46916.32"
"44",66392,"Artur","Tishchenko","Artyco","ua","46131.67"
"45",61543,"Bowen","Fuller","Monsoon","us","46026.67"
"46",78479,"Lertpong","Nakurai","Dexter","th","45305.67"
"47",78478,"Teerachock","Muedin","Killoposz","th","45205.67"
"48",67276,"Simon","Bellini","Vaifs","se","43799.01"
"49",80353,"Oh","Jeong-Teak","Parkha","kr","43476.34"
"50",87320,"-","-","N3LAS","br","43190.99"
"51",48703,"Christian","Blaylock","PowPow","us","42959.00"
"52",62754,"Konstantin","Kozlov","Hardecki","ru","42900.18"
"53",49824,"Richard","Nelson","KingRichard","us","41882.33"
"54",33221,"Artem","Nechayev","pkmk","ru","40856.99"
"55",62756,"Leonid","Grishin","Leogri3x6","ru","40400.18"
"56",47063,"Joseph","Sanchez","Frexs","us","40076.33"
"57",80371,"Alan","Gonzalez","Vaxlon","us","38478.00"
"58",80381,"Matthew","Biggins","SirDel","gb","38144.66"
"59",78747,"Tyler","Gardner","Dezignful","us","37614.66"
"60",76222,"John","Håkansson","hAKIS","se","37028.17"
"61",80380,"Casper","Præstensgaard","Gnaske","dk","36394.66"
"62",78748,"Jordan","Resulta","Resultah","us","35489.66"
"63",78749,"Rigo","Padilla","Gentrifyinq","us","35489.66"
"64",70222,"Rhye","Perry","Zer0","au","35104.99"
"65",72224,"Nicholas","Kell","Crust","ca","33860.69"
"66",66385,"Rasmus","Zettergren","maydeelol","se","33119.66"
"67",68604,"Maksym","Stadniuk","Max-Strafe","ua","32022.33"
"68",62764,"Trenton","Clements","lou","us","31423.33"
"69",70221,"Titinan","Chansap","Tempplex","th","31080.39"
"70",61547,"Tanner","Trebb","Rogue","ca","30988.00"
"71",70090,"Shivam","Patel","ShivFPS","gb","30052.67"
"72",78755,"Jason","Li","Sauceror","us","29697.33"
"73",93676,"최담호","-","Zeder","kr","29424.00"
"74",34758,"Martin","Wongprom","Graceful","se","29368.34"
"75",78946,"Mark","Christensen","Zipeth","ie","28977.67"
"76",54582,"Johan","Taylor","Taylor","se","28606.33"
"77",27363,"Lucas","Håkansson","Mendokusaii","se","28300.00"
"78",50269,"Marshall","Mohr","Mohr","us","28289.34"
"79",72402,"Martin Heggøy","Aamyri","Pjeh","no","28181.33"
"80",72403,"Alexander","Selfwin","Noth","se","28173.00"
"81",78901,"Matthew","Trengove","Emtee","au","27458.33"
"82",78258,"Tomás","Concha","Wolfx","cl","27068.33"
"83",91539,"Nicholas","Espersen","diffq","dk","26569.33"
"84",78621,"Jake","Walters","jmw","gb","26268.34"
"85",78259,"Pedro","Wevar","Neokox","cl","26048.33"
"86",78902,"Rick","Wirth","Sharky","au","26038.62"
"87",60536,"Thomas","Cook","Flanker","us","25485.33"
"88",78477,"Patimakron","Mechai","apexSQL","th","25371.00"
"89",72282,"Elwin","Echeveria","KSWINNIE","fr","24638.34"
"90",51606,"Timothy","Liang","Overpowered","us","23853.00"
"91",72405,"-","-","Parhka_V","kr","23600.00"
"92",62577,"Tanner","Roach","TannerSlays","us","23306.34"
"93",80379,"Angello","Cadenas","Xenial","us","23143.00"
"94",36700,"Pat","Saejew","NutsuruSama","th","22848.00"
"95",80644,"Lucas","Mendes","suwagh","br","22415.66"
"96",61087,"Sean","Garcia","vsnz","us","22189.33"
"97",80422,"Noyan","Ozkose","Genburtenx","au","22037.66"
"98",80643,"Victor","Champoski","kolizeum","br","21975.66"
"99",86873,"Julio","Augusto","1Worst","br","21925.66"
"100",80412,"Oscar","Jiang","Yuki","gb","21789.66"
"101",66259,"Jack","Martin","NiceWigg","us","21776.67"
"102",78757,"Jay","Stanley","Claraphi","us","21454.66"
"103",89017,"Younes","Elkherrat","Horizxon","gb","21285.67"
"104",78622,"Oleksander","Bokuchava","Sanya","ua","21234.53"
"105",85062,"Chaiyarit","Saijung","P4w-","th","21183.00"
"106",87151,"Felipe","Zapata","Elysium","cl","20932.67"
"107",79417,"Rafael","Canadas","bowswer","us","20919.00"
"108",62561,"Dong Hun","Na","Mondo","kr","20853.33"
"109",78627,"Julien","Verrier","Lerabinou","fr","20833.00"
"110",49592,"Brandon","Herrera","Brans","cl","20642.67"
"111",78634,"Won Jae","Park","Cpt","kr","20603.33"
"112",78480,"Nattakit","Sukjaroen","Lalab4ng","th","20331.17"
"113",78481,"Nitipath","Puangpaiboon","G0PGAP","th","20331.17"
"114",49447,"Romain","Dittmann","wSerious","fr","20282.10"
"115",30730,"Herman","Kobrin","Nesh","de","20184.00"
"116",66272,"Niko","Suominen","ZeroNothing","fi","20042.25"
"117",39601,"Ivan","Markeljic","Osnazeni","fr","20032.10"
"118",71156,"Laurice","Habibi","GuhRL","ca","20018.34"
"119",47614,"Lauri","Kouhi","Kouhia","fi","19820.17"
"120",62298,"Francisco","Alves","k4shera","pt","19470.97"
"121",87152,"João","Vitor Pegos Tel","J1nqs","br","19397.67"
"122",78950,"Théo","Lesecq","Cyqop","fr","19389.67"
"123",61550,"Sebastian","Vesala","Mimunyah","fi","19322.25"
"124",62299,"Rafael","Jesus","PostKiLL","pt","19220.97"
"125",62758,"Anatoly","Belousov","Wrugb","ru","19215.16"
"126",72406,"Anton","Shkuratov","xaniyaa","ru","19188.33"
"127",41643,"Colton","Visser","Viss","us","19173.34"
"128",61810,"Jamison","Moore","PVPX","us","19140.33"
"129",85074,"Rudy","De lamorinière","JokeeV2","fr","18896.33"
"130",80421,"Dylan","Price","Prycyy","au","18642.00"
"131",71028,"Matthieu","Pereira","Mpé","fr","18610.00"
"132",46885,"Joshua","Green","Jaro","au","18566.99"
"133",66260,"Christian","Feliciano","Nokokopuffs","us","18525.01"
"134",50469,"Kantapat","Tangteekarak","SaiyajinGOD","th","18441.17"
"135",4330,"Dmytro","Sakharuk","Xron","ua","18388.52"
"136",87153,"-","-","mo-mon","jp","17894.34"
"137",87154,"-","-","Curihara","jp","17894.34"
"138",87155,"-","-","Pinotr","jp","17894.34"
"139",30471,"Christopher","McCarthy","Muffinzz","us","17873.33"
"140",92778,"Weeraphon","-","Oatto","th","17838.00"
"141",40002,"Garrett","Shearer","Geesh","us","17829.67"
"142",76857,"Brandon","Singer","oh Nocturnal","us","17804.67"
"143",89016,"Joshua","Davis","Dazoh","gb","17435.67"
"144",47369,"Oliver","Kurtuldu","Badoli","dk","17295.00"
"145",41156,"Cem","Karakoc","Mithrain","tr","17171.34"
"146",41157,"Ferit","Karakaya","wtcN","tr","17171.34"
"147",70089,"-","-","AverageAden","us","17150.00"
"148",72476,"Deston","Nguyen","Bronzey","us","16799.99"
"149",53388,"-","-","batubozkan","tr","16733.34"
"150",32271,"Kha","Nguyen","iPN","no","16715.67"
"151",82661,"-","-","DizzyMizLizyy","jp","16337.00"
"152",82662,"Kazumoto","Sano","sano874","jp","16337.00"
"153",72407,"Elvira","Temirova","Esdesu","ru","15986.66"
"154",80408,"Matheus","Sartorio","theesaar","br","15944.33"
"155",78746,"Hunter","Perez","Asura","us","15822.99"
"156",64405,"Connor","White","Gigz","us","15318.67"
"157",31993,"Adam","Wills","Spirit","us","15258.34"
"158",43799,"Matthieu","Ribiere","oraxe","fr","15092.09"
"159",62755,"Maxim","Dmitruk","Exens","ru","14901.84"
"160",35145,"Félix","Lengyel","xQc","ca","14816.67"
"161",19012,"Ivan","Cuesta","KRYP","es","14657.28"
"162",72410,"Sebastian","Eketrapp","BallonG","se","14544.67"
"163",78483,"Noel","Chuat","BunnyH0p","my","14373.67"
"164",55958,"Lindsey","-","LuluLuvely","us","13916.01"
"165",80629,"Atikan","Senkaew","EMILIAZII","th","13807.67"
"166",80389,"Masaki","Tamanaha","788","jp","13783.67"
"167",78264,"Alperen","Özsoy","LDraconiaN","tr","13563.33"
"168",78625,"Nicolas","Sageot","Amaazz","fr","13553.00"
"169",62199,"Ryan","Amato","Meerko","us","13432.67"
"170",43900,"Brian","St. Pierre","Kephrii","us","13323.01"
"171",73057,"Dalton","-","Daltoosh","us","13300.00"
"172",82421,"Jan","Del Rosario","Euriece","ca","13265.34"
"173",78745,"Gabe","Matthews","Metro","us","13211.67"
"174",82024,"Anthony","Andrade","Apryze","us","13203.33"
"175",81699,"Jamie","Levine","Blasts","gb","13110.00"
"176",85044,"Scott","Maynard","Pandxrz","us","13108.33"
"177",80360,"Martin","Bègue","Joop","ar","13067.67"
"178",80361,"Khrys","Torres","aimbotmachin3","ar","13067.67"
"179",78628,"Janne","Sajomaa","Ziki","fi","13029.67"
"180",80628,"Jakkratorn","Khemkhajorn","Xabby","th","12997.67"
"181",78623,"Jake","Lock","Jaazz","gb","12853.84"
"182",85064,"Thoriq","Sultan","Bigzzy","id","12513.67"
"183",78626,"Dennis","Fratantonio","ShRP","it","12486.33"
"184",72229,"Cole","Prommel","Rkn","us","12300.00"
"185",80384,"Denis","Brendstrup","Denzaay","pl","12230.01"
"186",80640,"Lachie","Bruke","Rakiiii","au","12024.67"
"187",90930,"Ariel","Llanos","KrimNN","ar","11997.67"
"188",60534,"Brenden","Marino","Casper","us","11813.35"
"189",49840,"Maxime","Dambrine","Robi","fr","11786.34"
"190",72228,"Elijah","Hill","Hill","us","11783.33"
"191",83105,"Sila","Akepadcha","KzyyX","th","11576.17"
"192",80386,"Dominik","Szałapski","Siebakk","pl","11563.34"
"193",52367,"Brendan","Jensen","BcJ","us","11410.34"
"194",46826,"Haydin","Gordon","ZerG","us","11405.33"
"195",78948,"Brynn Crompton","Corbet","Brynn","gb","11405.00"
"196",66607,"Timmy","An","iiTzTimmy","us","11301.00"
"197",78907,"-","-","Ftyan","jp","11150.97"
"198",14275,"Thomas","Avallone","Hal","it","11099.67"
"199",78260,"Evelyn","La Torre","evzy","ar","11041.00"
"200",92732,"Cameron","Walker","Noiises","gb","11010.00"
"201",78904,"Louis","Borg","BulletL","au","11007.11"
"202",88562,"-","-","MrBin","br","10824.00"
"203",5058,"Sergi","Torras Aragonés","Winghaven","es","10782.33"
"204",83100,"Alexey","Rusinov","Maliwan","ru","10673.84"
"205",62265,"Kurtis","Gallo","Kurt","us","10579.33"
"206",92917,"João","Pedro","Azazel","br","10220.33"
"207",92918,"Lucas","Pontes Pinheiro","Lusquinn","br","10220.33"
"208",78001,"Andre","-","Draynilla","us","9933.33"
"209",62485,"Lyric","Quinonez","Lyric","us","9783.34"
"210",78323,"Osmar","de Matos Marques Filho","OMM","br","9752.67"
"211",79305,"Yuan","Gao","Aprank","cn","9744.34"
"212",78624,"David","Khachapuridze","dsblf","ru","9707.17"
"213",25850,"Timothy","Putrow","sYnceD","us","9666.67"
"214",62720,"-","-","Locklear","fr","9619.67"
"215",1150,"Alessandro","Avallone","stermy","it","9599.67"
"216",67275,"Philip","Olsen","Lowley","dk","9566.67"
"217",51617,"Morgan","Redfield Jr.","Payne","us","9538.66"
"218",80424,"Ben","Walton","Wxltzyy","au","9472.16"
"219",70095,"Lauren","-","HeyLauren","us","9333.33"
"220",81444,"Hu","Wang","3Mz","cn","9284.34"
"221",61181,"-","-","twiks","fr","9183.33"
"222",85043,"Will","Starck","TeQ","us","9176.67"
"223",78325,"Octavio","Sanchez","CaRazor","ar","9153.33"
"224",33299,"Matej","Fekonja","MaTaFe","si","9136.67"
"225",80382,"Juho","Sillanpää","YliSilta","fi","9120.00"
"226",86876,"Sebastian","Kosmach","Ricoysuavecito","ar","8957.66"
"227",52262,"Martin","Skrydstrup","gdolphin","dk","8916.66"
