"","PlayerId","NameFirst","NameLast","CurrentHandle","CountryCode","TotalUSDPrize"
"1",3883,"Peter","Rasmussen","dupreeh","dk","1937581.07"
"2",3679,"Andreas","Højsleth","Xyp9x","dk","1925480.23"
"3",3885,"Nicolai","Reedtz","dev1ce","dk","1921931.54"
"4",3672,"Lukas","Rossander","gla1ve","dk","1777642.41"
"5",17800,"Emil","Reif","Magisk","dk","1531040.30"
"6",8169,"Alexander","Kostylev","s1mple","ua","1518238.65"
"7",16267,"Denis","Sharipov","electronic","ru","1371975.33"
"8",16800,"Jakey","Yip","Stewie2k","us","1183840.00"
"9",2455,"Gabriel","Toledo","FalleN","br","1136438.92"
"10",12183,"Epitácio","de Melo","TACO","br","1085086.48"
"11",10629,"Keith","Markovic","NAF","ca","1078965.66"
"12",12169,"Fernando","Alvarenga","fer","br","1063838.92"
"13",12182,"Marcelo","David","coldzera","br","1035801.46"
"14",11788,"Jonathan","Jablonowski","ELiGE","us","1026896.42"
"15",36982,"Kirill","Mikhailov","Boombl4","ru","1010849.87"
"16",2452,"Finn","Andersen","karrigan","dk","1009135.39"
"17",49589,"Ilya","Zalutskiy","Perfecto","ru","969887.44"
"18",3888,"Dan","Madesclaire","apEX","fr","947635.72"
"19",8635,"Nicholas","Cannella","nitr0","us","920151.73"
"20",5001,"Olof","Kajbjer","olofmeister","se","916311.52"
"21",5783,"Nikola","Kovač","NiKo","ba","912402.56"
"22",5000,"Freddy","Johansson","KRiMZ","se","911861.90"
"23",3875,"Jesper","Wecksell","JW","se","911060.68"
"24",20415,"Russel","Van Dulken","Twistzz","ca","898676.43"
"25",3878,"Robin","Rönnquist","flusha","se","877868.95"
"26",8168,"Egor","Vasilyev","flamie","ru","860353.41"
"27",73128,"Valeriy","Vakhovskiy","B1t","ua","848841.03"
"28",3290,"Nathan","Schmitt","NBK","fr","814877.99"
"29",5483,"Håvard","Nygaard","rain","no","807099.57"
"30",3882,"Ladislav","Kovács","GuardiaN","sk","800787.47"
"31",3881,"Richard","Papillon","shox","fr","793923.88"
"32",10630,"Tarik","Celik","tarik","us","792139.21"
"33",3289,"Kenny","Schrub","kennyS","fr","727386.68"
"34",1511,"Daniil","Teslenko","Zeus","ua","689568.70"
"35",4998,"Janusz","Pogorzelski","snax","pl","662111.18"
"36",25121,"Abay","Khasenov","HObbit","kz","642674.58"
"37",4311,"Will","Wierzba","Rush","us","622016.00"
"38",10736,"Markus","Kjærbye","Kjaerbye","dk","619725.50"
"39",1510,"Ioann","Sukharev","Edward","ua","613854.60"
"40",1485,"Filip","Kubski","neo","pl","613620.31"
"41",3951,"Chris","de Jong","chrisJ","nl","608248.79"
"42",1484,"Wiktor","Wojtas","TaZ","pl","598650.68"
"43",4997,"Paweł","Bieliński","byali","pl","578428.22"
"44",1488,"Jarosław","Jarząbkowski","pashaBiceps","pl","577382.35"
"45",1490,"Patrik","Lindberg","f0rest","se","560505.97"
"46",31594,"Robin","Kool","ropz","ee","538510.74"
"47",3293,"Cédric","Guipouy","RpK","fr","524870.95"
"48",1492,"Christopher","Alesund","GeT_RiGhT","se","519615.39"
"49",2440,"Richard","Landström","Xizt","se","513805.74"
"50",11483,"Peter","Jarguz","stanislaw","ca","504637.38"
"51",3889,"Vincent","Schopenhauer","Happy","fr","485910.46"
"52",12859,"Jonas","Olofsson","Lekr0","se","478180.51"
"53",31001,"Mathieu","Herbaut","ZywOo","fr","466494.48"
"54",28556,"Maikil","Selim","Golden","se","461942.48"
"55",48581,"Vladislav","Gorshkov","nafany","ru","454667.25"
"56",63706,"Dmitry","Sokolov","sh1ro","ru","454667.25"
"57",49036,"Sergey","Rykhtorov","Ax1Le","ru","453863.61"
"58",18811,"Kristian","Wienecke","k0nfig","dk","453105.81"
