"","PlayerId","NameFirst","NameLast","CurrentHandle","CountryCode","TotalUSDPrize"
"1",3304,"Johan","Sundstein","N0tail","dk","7172111.58"
"2",3822,"Jesse","Vainikka","JerAx","fi","6475400.02"
"3",30451,"Anathan","Pham","ana","au","6004411.96"
"4",2811,"Sébastien","Debs","Ceb","fr","5773909.40"
"5",18897,"Topias","Taavitsainen","Topson","fi","5690417.57"
"6",3145,"Kuro","Takhasomi","KuroKy","de","5219540.81"
"7",14671,"Amer","Al-Barkawi","Miracle-","jo","4824201.68"
"8",12579,"Ivan","Ivanov","MinD_ContRoL","bg","4605276.16"
"9",12133,"Lasse","Urpalainen","Matumbaman","fi","4515649.04"
"10",25335,"Maroun","Merhej","GH","lb","4219570.69"
"11",15855,"Yaroslav","Naidenov","Miposhka","ru","3945633.01"
"12",14196,"Sumail","Hassan","SumaiL","pk","3827164.01"
"13",79215,"Alexander","Khertek","TORONTOTOKYO","ru","3715027.22"
"14",70584,"Magomed","Khalilov","Collapse","ru","3713542.59"
"15",70916,"Ilya","Mulyarchuk","Yatoro","ua","3712178.91"
"16",71806,"Miroslaw","Kolpakov","Mira","ua","3703691.05"
"17",2578,"Clement","Ivanov","Puppey","ee","3615604.17"
"18",26665,"Chunyu","Wang","Ame","cn","3412591.07"
"19",10712,"Zhang","Yiping","y`","cn","3265674.08"
"20",5195,"Ludwig","Wåhlberg","Zai","se","3254414.31"
"21",26513,"Zhang","Ruida","Faith_bian","cn","3247113.66"
"22",10188,"Lu","Yao","Somnus丶M","cn","3143337.59"
"23",2615,"Saahil","Arora","UNiVeRsE","us","3057237.67"
"24",4033,"Linsen","Xu","fy","cn","3042472.38"
"25",5194,"Peter","Dager","ppd","us","3001619.62"
"26",3524,"Gustav","Magnusson","s4","se","2730894.97"
"27",3305,"Tal","Aizik","Fly","il","2594635.91"
"28",2610,"Clinton","Loomis","Fear","us","2562957.34"
"29",4028,"Artour","Babaev","Arteezy","ca","2474133.21"
"30",10080,"Liangzhi","Hu","KaKa","cn","2329871.24"
"31",14672,"Yazied","Jaradat","YapzOr","jo","2285298.67"
"32",13080,"Aliwi","Omar","w33","ro","2284523.58"
"33",9515,"Andreas","Nielsen","Cr1t","dk","2225258.31"
"34",3256,"Kurtis","Ling","Aui_2000","ca","2008582.54"
"35",14238,"Peng","Li","iceice","cn","2002159.51"
"36",26512,"Chu","Zeyu","Shadow","cn","1982225.70"
"37",10711,"Zhou","Yang","bLink","cn","1960956.47"
"38",22207,"Jianwei","Yap","xNova","my","1903965.19"
"39",33561,"Shenyi","Yang","Chalice","cn","1870322.09"
"40",2596,"Ning","Zhang","xiao8","cn","1869994.33"
"41",15530,"Damien","Chok","kpii","au","1831451.97"
