"","PlayerID","X21","X20","X19","X18","X17","X16","X15","X14","X13","X12","X11","X10","X09","X08","X07","X06","X05","X04","X03","X02","X01","X00","X99","X98"
"1",45190,541116.4,54636.176,58991.56,32844.25,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",11868,NA,NA,NA,NA,3026.04166666667,30310.526,644599.2759825,325.558,66.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",15511,176240,35800,151090.2,208196.6,87708.1646,23923.75134,2230.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",3724,NA,NA,6410,526.05,41500,140227.632,97808.306,71688.602,320687.461307025,191.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",20101,166082.26,39805.658,16799.56,37397.76,364141.332,31806.274,3321.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",45192,541116.4,54236.176,49591.948,22088.64,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",30781,211680,45300,178990.2,104932.2,104963.8,14255.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2576,NA,8000,1800,NA,125,3391.6,55002.7878,167940.708,157059.18394106,64552.20214026,203400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",49426,541116.4,54036.776,49591.948,5238.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",15754,NA,NA,NA,NA,2048.2688,6767.75,644599.2759825,NA,99.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",30573,179680,43984.4,169320.4,234880.8,18960,605.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",26666,166082.26,39805.658,16799.56,37397.76,344141.332,31806.274,3240.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",30686,4000,33184.498,432550.6,165392.88,11149.8,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",3140,NA,NA,2800,NA,1500,132919.472,113011.709550753,65107.3885,320827.461307025,6977.051156908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",3523,NA,2000,6600,NA,NA,129529.996,110857.885550753,65200.986,320827.461307025,3922.452708088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",4885,5398,NA,22200,19493.85,22744,347239.65,179325.797,7660.8914,3557.70444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",19967,179680,42984.4,163820.4,202812.8,5500,869,1524.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",10074,NA,NA,1420.1,4870.88,554487.544,8124.896,22905.48,10045.2578997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",4888,NA,200,600,2017.575,21744,347826.094,193630.016739122,20503.23586,4801.86732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",4883,NA,NA,40497.035,19000,119063.8,351489.65,33887.8478,7660.8914,19577.55076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",3641,300,632.825,717.2,7956.66666666667,38166.81,392328.2,61862.7816614708,14802.93514858,65609.1017445933,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2597,NA,NA,16000,2860.595,NA,3873.546,117074.106736479,176625.4277052,35026.68706058,205282.0307168,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",13394,NA,1727.02,199766.94,12511.12,9471.45,250997.7,77206.8755599929,6503.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",44128,317614.6,61088.902,86868.86,88772.89,301.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",15708,69620,50300,150065,237759.8,20056,13232.76,567.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",4893,NA,7006.7,21897.035,7000,83763.8,349739.65,32092.0195391215,23801.6092,15736.28154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",9830,182680,71839.8,53510,14300,60400,88734.386,38826.80389,654.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",15807,19310,34500,156520.4,204690.45,51874.6666666667,34657.8,1252.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",36550,13300,30300,366370.4,81207.86,6138.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",22211,6350,3000,12000,73332.2,288279.6,109097.744,5625.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",12230,183830,71839.8,45000,13900,45750,87460.236,42702.8150599298,910.6025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",21940,179680,42984.4,21500,204312.8,4835.8,32700,8839.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",3254,68520,24473,164120.4,202589.371428571,9200,1300,NA,3189.42733333333,4885.23055655,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",3642,NA,632.825,163120.4,207872.26,46008,4600,32868.488,19821.19808,220.0435486,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",31966,13300,30300,366370.4,20725.66,14388.6175,13650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",30347,4800,15748.544,12499.6171428571,1583.52,378114.745666667,23542.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",13644,183830,71839.8,182320.4,1648.515,NA,NA,3798.96226401,124.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",57309,320620,75897.7333333333,30435.7142857143,1054.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2603,8766.66666666667,3600,12219.512,7510.88333333333,8600,25233.4,320471.569,30983.841,4198.724922,1749.344356608,7700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",10728,NA,NA,22207.555,1583.52,10383.932,115621.54,261231.4206375,9820.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",3327,4916.66666666667,11166.6666666667,3389.11428571429,200,189.2372,4678.8,66032.3678,166709.108,158119.18394106,5736.393250804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",47449,320620,81097.21,12343.7142857143,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",3166,NA,NA,NA,NA,NA,NA,NA,167154.6577052,35026.68706058,205282.0307168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",74015,320620,81097.21,8400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",74016,320620,81097.21,8400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",17616,134910,15010,192950.4,18500,22732.5,12378.12,5358.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",17238,NA,NA,274720.4,5196,1250,109581.3,6325.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",3430,833.333333333333,442.857142857143,11613.2,21624.222,1213.33333333333,3342.208,319660.489,20326.487,5846.379458,603.896103896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",15806,4033.33333333333,NA,8510,13000,262.3544,349748.8,8909.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
