"","PlayerId","NameFirst","NameLast","CurrentHandle","CountryCode","TotalUSDPrize"
"1",19968,"Won Ho","Jeong","KyoCha","kr","465268.99"
"2",18570,"Jung Hyeog","Lee","sake","kr","462790.78"
"3",15718,"Jae Won","Lee","Rich","kr","427923.28"
"4",18568,"Jin Woo","Im","Reset","kr","360093.52"
"5",15724,"Woon Sung","Kang","Ttsst","kr","353715.98"
"6",17549,"Jonathan","Gunnarsson","Wubby","se","264826.14"
"7",1014,"Seung Chul","Kim","sCsC","kr","239311.62"
"8",15602,"Joshua","Bennett","Snitch","gb","238798.57"
"9",16241,"Jérome","Trinh","JayPL","fr","229170.87"
"10",21221,"Ji Hoon","Yoon","Sign","kr","211104.46"
"11",23618,"Jeong Ha","Lee","Jeongha","kr","200447.42"
"12",15751,"Simon","Svensson","Schwimpi","se","191647.23"
"13",15748,"Pontus","Sjogren","Breez","se","187978.31"
"14",18573,"Tae Jun","Lee","merryday","kr","184790.78"
"15",22236,"Filip","Liljeström","Smexystyle","se","184411.26"
"16",11920,"Dob","Engström","QuackNiix","se","180964.31"
"17",1049,"Do Joon","Chae","Noblesse","kr","164811.62"
"18",18572,"Jae Hun","Jin","Lockdown","kr","156959.11"
"19",28356,"Seung Won","Kim","Swoy","kr","151828.25"
"20",15426,"Fan","Yang","Fan","us","149391.76"
"21",30547,"Kenn Øster","Rasmussen","Zaelia","dk","147500.00"
"22",25039,"Jin Su","Park","NachoJin","kr","146932.17"
"23",20908,"Thomas","Cailleux","Ménè","fr","146169.84"
"24",14529,"John Paul","Lopez","KingCaffeine","us","138297.16"
"25",12075,"Keiwan","Itakura","k1","us","138237.16"
"26",14011,"James","Baker","Bakery","gb","134818.57"
"27",1091,"Tae Hoon","Kwon","Sniper","kr","128659.74"
"28",18569,"Yeong Hwan","Jing","Hide","kr","124992.02"
"29",16733,"Lunhan","Kang","XingC","cn","122420.01"
"30",7405,"Lawrence","Harper","Atheroangel","gb","120263.57"
"31",14972,"Vilhem","Flennmark","POILK","se","114751.80"
"32",18797,"Hanfei","Chen","Tiger","cn","114207.06"
"33",1233,"Dennis","Schneider","HasuObs","de","113047.26"
"34",6565,"Kun","Fang","iDream","cn","112337.16"
"35",16730,"Zhihao","Wu","Tumi","cn","112170.41"
"36",23619,"Ju Dam","Park","dami","kr","109714.80"
"37",15735,"Ben","Bunk","Cattlepillar","de","107328.04"
