"","PlayerId","NameFirst","NameLast","CurrentHandle","CountryCode","TotalUSDPrize"
"1",3832,"Sang Hyeok","Lee","Faker","kr","1309607.54"
"2",6466,"Ho Seong","Lee","Duke","kr","954620.62"
"3",3636,"Jun Sik","Bae","Bang","kr","915911.99"
"4",3836,"Jae Wan","Lee","Wolf","kr","913084.70"
"5",3831,"Seong Ung","Bae","Bengi","kr","810683.00"
"6",34362,"Wen Bo","Yu","JackeyLove","cn","691449.64"
"7",6013,"Eui Jin","Song","Rookie","kr","610445.70"
"8",10925,"Yong In","Jo","CoreJJ","kr","608323.25"
"9",17101,"Yuan Hao","Li","xiaohu","cn","606826.91"
"10",28954,"Jae Hyuk","Park","Ruler","kr","577838.60"
"11",28734,"Zhen Ning","Gao","Ning","cn","566607.87"
"12",18904,"Sun Gu","Kang","Blank","kr","559518.75"
"13",2749,"Chan Yong","Kang","Ambition","kr","553234.20"
"14",34363,"Liu Yi","Wang","Baolan","cn","548235.82"
"15",11154,"Hau Hsuan","Hung","Karsa","tw","548127.12"
"16",4038,"Zihao","Jian","Uzi","cn","545447.56"
"17",39166,"Dong Geun","Kang","TheShy","kr","538444.86"
"18",3830,"Se Hyeong","Cho","Mata","kr","533979.52"
"19",8924,"Luka","Perković","PerkZ","hr","520805.47"
"20",3386,"Kai","Ming","ClearLove","cn","515326.78"
"21",2762,"Eon Yeong","Jung","Impact","kr","515306.14"
"22",12663,"Ye","Tian","Meiko","cn","495307.12"
"23",14599,"Seong Jin","Lee","CuVee","kr","488379.08"
"24",15792,"Wang Ho","Han","Peanut","kr","486994.37"
"25",12186,"Min Ho","Lee","Crown","kr","483747.81"
"26",28735,"Sen Ming","Shi","Ming","cn","478690.83"
"27",11698,"Shi Yu","Liu","Mlxg","cn","472216.01"
"28",12466,"Rasmus","Winther","Caps","dk","470104.57"
"29",3554,"Martin","Larsson","Rekkles","se","450675.66"
"30",4509,"Won Seok","Heo","PawN","kr","440580.94"
"31",3843,"Hyuk Kyu","Kim","Deft","kr","436678.10"
"32",1863,"Paul","Boyer","sOAZ","fr","422314.88"
"33",4584,"Marcin","Jankowski","Jankos","pl","415166.27"
"34",24979,"Ye Chan","Lee","Scout","kr","399765.45"
"35",16021,"Tae Sang","Kim","doinb","kr","384888.93"
"36",8931,"Dong Ha","Kim","Khan","kr","380470.04"
"37",3176,"Jong In","Kim","PraY","kr","374778.08"
"38",13882,"Jun Ze","Yan","letme","cn","360201.28"
"39",14665,"Seung Hoon","Heo","Huni","kr","357699.25"
"40",8651,"Zdravec","Gulubov","Hylissang","bg","350660.29"
"41",31016,"Min Seung","Kang","Haru","kr","348691.73"
"42",10470,"Martin","Hansen","Wunder","dk","348151.76"
"43",4634,"Shuo Jie","Hu","SwordArt","tw","347163.36"
"44",4629,"Hyeong Seok","Jang","Looper","kr","346307.48"
"45",4469,"Beom Hyeon","Kang","GorillA","kr","329318.02"
"46",29096,"Wei Xiang","Lin","Lwx","cn","325941.39"
"47",59916,"Su","Heo","ShowMaker","kr","325383.19"
"48",59915,"Geon Bu","Kim","Canyon","kr","322413.48"
"49",41044,"Tian Liang","Gao","Tian","cn","322321.67"
"50",41414,"Qing Song","Liu","Crisp","cn","319641.62"
"51",41209,"Geon Hee","Cho","BeryL","kr","318963.10"
