"","PlayerId","NameFirst","NameLast","CurrentHandle","CountryCode","TotalUSDPrize"
"1",34191,"Courant","Alexandre","Kaydop","fr","508212.51"
"2",27359,"Garrett","Gordon","GarrettG","us","462349.19"
"3",31009,"Pierre","Silfver","Turbopolsa","se","426326.46"
"4",36750,"Mariano","Arruda","SquishyMuffinz","ca","423718.00"
"5",47086,"Justin","Morales","jstn","us","408838.69"
"6",36201,"Victor","Locquet","Fairy Peak","fr","395783.54"
"7",34186,"Jos","van Meurs","ViolentPanda","nl","301124.96"
"8",32223,"Jacob","Knapman","JKnaps","ca","279778.53"
"9",27399,"Kyle","Robertson","Scrub Killa","gb","251260.16"
"10",40347,"Reed","Wilen","Chicago","us","238297.05"
"11",38409,"Jesus","Parra","Gimmick","us","228747.02"
"12",32240,"Kyle","Storer","Torment","us","226270.20"
"13",60682,"Alex","Paoli","Extra","fr","219451.89"
"14",34188,"Dillon","Rizzo","Rizzo","us","218021.82"
"15",66249,"Evan","Rogez","Monkey Moon","fr","216202.77"
"16",53836,"Marc","Domingo","Marc_by_8","es","216095.26"
"17",53843,"Yanis","Champenois","Alpha54","fr","209451.57"
"18",36755,"Otto","Kaipiainen","Metsanauris","fi","188592.97"
"19",52140,"Caden","Pellegrin","Sypical","us","187046.70"
"20",56419,"Tshaka","Taylor","Arsenal","us","185972.96"
"21",52144,"Slater","Thomas","Retals","us","179937.91"
"22",60669,"Nick","Costello","mist","us","179475.38"
"23",35309,"Thibault","Grzesiak","Chausette45","fr","173575.03"
"24",34185,"David","Morrow","Deevo","gb","161058.56"
"25",49530,"Massimo","Franceschi","Atomic","us","158952.06"
"26",36760,"Victor","Francal","Ferra","fr","153811.26"
"27",21480,"Cameron","Bills","Kronovi","us","148089.90"
"28",33355,"Daniel","Parsons","Torsos","au","146539.97"
"29",21449,"Francesco","Cinquemani","Kuxir97","it","144464.10"
"30",43656,"Maurice","Weihs","Yukeo","at","142726.96"
"31",27404,"Remco","den Boer","remkoe","nl","139534.86"
"32",49531,"Jason","Corral","Firstkiller","us","135481.29"
"33",51648,"Austin","Aebi","AyyJayy","us","134015.87"
"34",48354,"Andy","Landais","Kassio","fr","133977.58"
"35",21476,"Jayson","Nunez","Fireburner_","us","132992.55"
"36",60676,"Maello","Ernst","Aztral","be","127501.48"
"37",33348,"Jonathan","Slade","Express","au","115214.66"
"38",43652,"Braxton","Lagarec","Allushin","ca","109167.97"
"39",56418,"Jirair","Papazian","ExplosiveGyro","us","106096.24"
"40",41485,"Jordan","Stellon","EyeIgnite","gb","103634.41"
"41",41490,"Jack","Pearton","FlamE","gb","99397.05"
"42",40398,"Cameron","Ingram","Kamii","nz","94934.34"
"43",33354,"Matthew","Den-Kaat","Drippay","au","94260.86"
"44",15013,"Emil","Moselund","fruity","dk","92709.38"
"45",34187,"David","Lawrie","Miztik","gb","88073.42"
"46",44428,"Jack","Packwood-Clarke","speed","gb","84002.12"
"47",79836,"Archie","Pickthall","archie","gb","83011.83"
"48",79221,"Luke","Riddell","Amphis","au","81291.79"
"49",32228,"Sandro","Holzwarth","FreaKii","de","80016.85"
"50",36756,"Joonas","Salo","Mognus","fi","79242.72"
"51",52143,"Alexandre","Bellemare","AxB","ca","78893.25"
"52",32053,"Dan","Bluett","Bluey","gb","78780.38"
"53",75835,"Leonardo","Wilson","Turinturo","us","77983.34"
"54",55075,"Alexandre","Reis Pedrogam","Taroco","ca","77828.89"
"55",36754,"Michael","Moss","Memory","us","77497.64"
"56",27410,"Marius","Ranheim","gReazymeister","no","75412.12"
"57",79837,"Joris","Robben","Joreuz","nl","72341.94"
"58",75884,"Victor","Duran Parra","Reysbull","cl","71941.63"
"59",75876,"Facu","Vallerino","SHADDD","ar","71883.30"
"60",75878,"Lautaro","Gusinsky","ajgAnotherGuy_","ar","71266.63"
"61",27395,"Linus","Möllergren","al0t","se","69291.72"
"62",40396,"Cameron","Johns","CJCJ","au","68800.51"
"63",60680,"Thomas","Binkhorst","ThO","nl","68732.82"
"64",53801,"Aldin","Hodzic","Ronaky","dk","68189.62"
